review_id,restaurant_id,date,rating,review_text,monthly_sales,complaints_count,avg_rating,staff_turnover,risk_label,month,weekday,sentiment,review_length
1,99,2025-05-01,5,should doctor paper land third realize rich easy summer each center key receive break.,0.10296229346436535,0.6256397394559574,-0.4357960756974787,-1.6344941991529378,0,5,3,0.29219195047601154,0.060847325585277494
2,155,2025-05-28,1,product water after already face effort possible toward number sound price technology agent control whole.,1.128979904879949,0.5524580694923531,-0.27647557899938285,1.344130627733125,0,5,2,0.5890057125629142,0.2632582387622622
3,174,2025-08-30,2,tree play my likely any model smile address officer record worker we current first officer do son night black thousand program three.,0.25185506599885465,0.040186379747123184,1.6353703813777731,-0.23278839826537884,0,8,5,-0.038543384420822474,1.680134631001155
4,16,2024-10-17,4,almost cell sell away civil task.,0.6968388661532552,0.9183664193103744,-0.4756261998720031,1.344130627733125,0,10,3,-0.4286414717350372,-1.5584399798306
5,119,2025-04-26,4,section space state investment know laugh heart recently less sometimes feeling create toward policy reflect need write economy.,1.5820942616527118,-1.1307203396705452,0.7989377737127678,0.6432777272893455,0,4,5,-0.08942574363572015,0.8704909782932162
6,33,2025-02-22,4,develop throw scene someone executive cup culture few hospital arm other long place.,1.1378492476525761,-0.17935863014368963,1.1175787671089594,0.4680645021784006,0,2,5,-1.0646709619212567,-0.1415635875917072
7,15,2024-09-27,1,describe hit a wait perhaps even against air fish manage itself top catch peace impact tend unit certain research.,0.5203100189592356,-0.032995290216481094,-0.18353862259215964,-1.6344941991529378,0,9,4,1.388585643082733,1.0729018914702009
8,34,2024-09-26,4,energy fill phone meeting treat ability southern social cell tax but own.,-0.8543931582012918,-1.2770836795977538,-0.4357960756974787,-0.9336412987091584,0,9,3,0.6455416672461335,-0.3439745007686919
9,12,2025-04-14,1,child reflect usually explain north force.,1.0888196458909793,-1.4966286894885665,0.6263405689564969,0.6432777272893455,0,4,0,-1.7007004521074762,-1.5584399798306
10,43,2025-08-18,2,no power student stage traditional next player stock hour crime manager manage free others nation describe boy film do camera red.,-0.25556398203381286,0.8451847493467702,1.2105157235161828,-1.459280974041993,0,8,0,0.08018212041393842,1.4777237178241702
11,132,2025-03-09,4,major catch ok author democrat cup work happy kid world fact after land hair matter public or.,-0.24639169784872264,0.9915480892739787,0.9582582704108642,0.8184909524002904,0,3,6,1.304538889022411,0.6680800651162315
12,163,2024-11-17,1,between cause ask involve teacher team address address.,-1.64989971718267,0.040186379747123184,-0.7411603610354965,-1.1088545238201033,0,11,6,-0.4286414717350372,-1.1536181534766305
13,31,2025-07-15,3,read artist fall material sing little him indicate road win their a purpose.,0.31032666752566995,0.5524580694923531,0.8122144817709421,-1.459280974041993,0,7,1,1.1296307792212006,-0.1415635875917072
14,123,2024-10-18,3,nearly area prove drop end eight reality let medical within kind water himself others market fall popular.,0.21022700700498365,-1.0575386697069409,-0.7942671932681954,1.6945570779550148,0,10,4,1.2250352027491331,0.6680800651162315
15,54,2024-10-04,2,town skill perhaps role young our middle method care.,-0.41745782731477993,-1.4234470195249622,-1.4713793042351049,1.344130627733125,0,10,4,-0.1742296756605494,-0.951207240299646
16,129,2024-11-07,5,arm similar war character local physical turn manage trip.,0.8455088301650296,-1.5698103594521708,0.12182566274585824,-0.5832148484872686,0,11,3,-0.4286414717350372,-0.951207240299646
17,88,2025-05-28,1,chance indicate try fill old main.,-1.0023927421841965,-0.4720853099981067,0.5997871528401469,0.4680645021784006,0,5,2,0.2497899844635969,-1.5584399798306
18,194,2025-03-14,5,never level year care yeah window listen move east fine.,-0.7444058808699574,-1.2770836795977538,0.06871883051315943,-1.459280974041993,0,3,4,1.6914568288856946,-0.7487963271226613
19,97,2025-01-18,3,work military opportunity evidence wish policy base notice doctor check friend anything right notice parent audience.,-0.5085122435975379,-1.2770836795977538,-1.2058451430716108,0.11763805195651089,0,1,5,-1.4705183508972255,0.46566915193924685
20,37,2025-05-29,4,mean draw weight wall spend either common sport many save only once plan clear region phone green hot although.,-0.6996858650082379,0.9915480892739787,0.6528939850728458,0.6432777272893455,0,5,3,-0.40138306501277066,1.0729018914702009
21,114,2024-09-22,3,bit son project health ball organization news surface arm between person smile marriage force economic question probably plan election.,-1.0387144403081505,0.47927639952874884,-1.3120588075370085,-0.05757517315443398,1,9,6,0.8434175086374017,1.0729018914702009
22,87,2025-08-26,3,quite you challenge forward before for course foreign term buy on effort figure thousand drop build hold news month itself.,1.302371842609432,-1.1307203396705452,-0.9801411060826412,-1.1088545238201033,0,8,1,-1.0646709619212567,1.2753128046471855
23,115,2024-09-15,2,who show meeting early finally firm at image name north individual ability culture stock believe lot certain miss however.,-1.5627190420579875,-0.39890364003450246,0.9317048542945142,0.2928512770674558,0,9,6,-0.2832633025496156,1.0729018914702009
24,51,2025-01-27,1,member near family side check form agree game light.,-1.0815210391195391,-0.39890364003450246,0.32097628361847846,-0.9336412987091584,0,1,0,-0.2590336076853787,-0.951207240299646
25,200,2025-06-27,3,forget place fine sense central politics site talk news yes.,1.2531800206076131,-0.9843569997433367,1.4096663443888036,-1.6344941991529378,0,6,4,0.6314076785753286,-0.7487963271226613
26,97,2025-01-18,4,shoulder event fact issue wear family research morning lot nature staff do necessary customer.,-0.5085122435975379,-1.2770836795977538,-1.2058451430716108,0.11763805195651089,0,1,5,-0.4286414717350372,0.060847325585277494
27,76,2025-05-28,5,per prepare trial imagine congress which within several body yourself decade through.,-1.0889401720337948,0.040186379747123184,1.0511952268180862,1.344130627733125,0,5,2,-0.4286414717350372,-0.3439745007686919
28,85,2025-08-18,3,authority cup long sit news wear move performance few.,-1.5715903392913402,0.040186379747123184,-1.1792917269552614,-0.23278839826537884,0,8,0,-1.0646709619212567,-0.951207240299646
29,106,2024-10-24,3,firm bar remember hope number later such activity produce little physical determine charge more.,0.684920564648742,-0.9111753297797324,-0.9270342738499424,1.51934385284407,0,10,3,-0.33323704820710426,0.060847325585277494
30,160,2025-04-30,5,by popular according eat training drive vote leader price in international.,1.3336725311294022,0.18654971967433173,-1.4581025961769298,-0.40800162337632373,1,4,2,1.0978293047118894,-0.5463854139456765
31,46,2025-06-27,1,blue four continue guess area today bad leader method party heavy compare fill ready attorney beyond point nature admit figure particular.,0.9457238038685245,-1.6429920294157752,0.7192775253637189,-0.5832148484872686,0,6,4,-0.9713866366939444,1.4777237178241702
32,33,2025-08-16,4,reason majority join human student seven term modern window individual someone laugh cultural third hope by.,1.1378492476525761,-0.17935863014368963,1.1175787671089594,0.4680645021784006,0,8,5,0.08018212041393835,0.46566915193924685
33,101,2025-02-19,2,image drive peace together trade while lay.,-1.35630844483076,1.2110930991647915,0.05544212245498443,1.16891740262218,0,2,2,-0.4286414717350372,-1.3560290666536152
34,151,2024-09-03,4,support why effort both owner head maybe talk camera story time thank.,0.7099611154647181,0.40609472956514453,0.3475296997348273,-0.7584280735982134,0,9,1,-0.4286414717350372,-0.3439745007686919
35,138,2025-05-15,3,even pattern to lot southern oil fall discuss wall sense.,0.6760512218761148,-1.4966286894885665,0.06871883051315943,0.8184909524002904,0,5,3,-0.4286414717350372,-0.7487963271226613
36,59,2025-07-25,1,catch few sell according detail now new hair art serve fill woman reason certain anything bring personal move.,1.6956191128973241,0.40609472956514453,-0.4357960756974787,0.11763805195651089,0,7,4,-0.23700661235425424,0.8704909782932162
37,23,2024-09-15,5,i memory drive pattern thousand maybe.,0.6557912819948778,-1.5698103594521708,-0.7544370690936716,1.51934385284407,0,9,6,-0.4286414717350372,-1.5584399798306
38,23,2025-07-05,1,front could discover later expert kid against religious student trip billion old cut.,0.6557912819948778,-1.5698103594521708,-0.7544370690936716,1.51934385284407,0,7,5,-0.2590336076853787,-0.1415635875917072
